PEL_1 X,PEL_1 Y,PEL_1 Z,PEL_2 X,PEL_2 Y,PEL_2 Z,PEL_3 X,PEL_3 Y,PEL_3 Z,PEL_4 X,PEL_4 Y,PEL_4 Z,R_TH1 X,R_TH1 Y,R_TH1 Z,R_TH2 X,R_TH2 Y,R_TH2 Z,R_TH3 X,R_TH3 Y,R_TH3 Z,R_TH4 X,R_TH4 Y,R_TH4 Z,R_SK1 X,R_SK1 Y,R_SK1 Z,R_SK2 X,R_SK2 Y,R_SK2 Z,R_SK3 X,R_SK3 Y,R_SK3 Z,R_SK4 X,R_SK4 Y,R_SK4 Z,R_FCC1 X,R_FCC1 Y,R_FCC1 Z,R_FCC2 X,R_FCC2 Y,R_FCC2 Z,R_FCL X,R_FCL Y,R_FCL Z,L_TH1 X,L_TH1 Y,L_TH1 Z,L_TH2 X,L_TH2 Y,L_TH2 Z,L_TH3 X,L_TH3 Y,L_TH3 Z,L_TH4 X,L_TH4 Y,L_TH4 Z,L_SK1 X,L_SK1 Y,L_SK1 Z,L_SK2 X,L_SK2 Y,L_SK2 Z,L_SK3 X,L_SK3 Y,L_SK3 Z,L_SK4 X,L_SK4 Y,L_SK4 Z,L_FCC1 X,L_FCC1 Y,L_FCC1 Z,L_FCC2 X,L_FCC2 Y,L_FCC2 Z,L_FCL X,L_FCL Y,L_FCL Z,R_BP X,R_BP Y,R_BP Z,R_AKL_OUT X,R_AKL_OUT Y,R_AKL_OUT Z,R_KNEE_OUT X,R_KNEE_OUT Y,R_KNEE_OUT Z,L_BP X,L_BP Y,L_BP Z,L_AKL_OUT X,L_AKL_OUT Y,L_AKL_OUT Z,L_KNEE_OUT X,L_KNEE_OUT Y,L_KNEE_OUT Z,Unnamed: 96
1359.227,659.055,1059.112,1349.179,689.47,1062.074,1324.91,698.825,984.835,1322.914,671.212,976.682,1525.567,502.596,689.566,1587.005,514.748,710.693,1579.087,522.37,619.832,1552.406,515.027,625.758,1466.277,556.0,338.241,1505.137,554.77,333.46,1528.623,573.548,321.365,1453.567,570.963,271.338,1273.909,661.378,107.664,1259.243,661.394,73.548,1275.399,627.318,72.53,1586.381,876.634,706.739,1547.227,880.292,703.681,1578.406,870.249,616.519,1597.897,873.549,639.006,1573.078,836.047,399.986,1559.034,847.209,434.414,1537.924,836.536,456.207,1485.606,828.146,382.455,1268.321,742.72,291.199,1241.565,739.146,276.896,1243.588,772.644,265.495,1544.388,643.39,41.741,1342.634,619.055,110.683,1548.98,567.779,459.173,1429.545,795.668,54.423,1312.911,794.117,252.525,1657.22,832.591,509.851,
1359.003,658.987,1060.233,1349.431,689.403,1063.202,1324.587,699.104,986.183,1322.524,671.489,977.9,1522.146,502.731,689.557,1583.834,514.771,709.943,1575.034,522.613,619.247,1548.319,515.288,625.461,1459.51,556.217,338.666,1498.357,554.901,333.665,1521.731,573.6,321.618,1446.494,571.152,271.791,1266.114,661.335,108.592,1251.303,661.393,74.557,1267.464,627.328,73.519,1587.962,876.79,709.743,1548.851,880.557,706.269,1580.901,870.501,619.399,1600.198,873.681,642.111,1578.321,835.735,401.771,1563.417,847.377,435.947,1541.931,836.464,457.244,1491.235,828.165,382.371,1275.824,742.514,285.946,1249.423,739.214,271.283,1251.438,772.709,260.224,1536.104,643.352,41.711,1334.823,619.08,111.519,1542.883,567.935,459.039,1442.673,796.093,53.343,1321.363,794.14,248.479,1660.541,832.646,513.384,
1358.805,658.917,1061.437,1349.269,689.343,1064.515,1324.341,699.342,987.581,1322.191,671.79,979.244,1518.72,502.944,689.67,1580.724,514.846,709.389,1570.845,522.994,618.805,1544.179,515.638,625.263,1452.723,556.477,339.186,1491.53,555.096,333.975,1514.795,573.706,321.895,1439.407,571.383,272.377,1258.266,661.353,109.616,1243.397,661.405,75.614,1259.522,627.337,74.478,1589.435,876.808,712.867,1550.438,880.832,708.871,1583.289,870.768,622.354,1602.377,873.851,645.255,1583.341,835.623,403.495,1567.974,847.871,437.469,1545.767,836.421,458.238,1496.768,828.155,382.218,1283.481,742.335,280.662,1257.521,738.915,265.182,1259.857,772.551,254.081,1527.943,643.305,41.672,1327.044,619.069,112.328,1536.96,568.501,458.949,1456.141,796.504,52.394,1329.88,794.139,244.358,1663.813,832.937,516.948,
1358.667,658.839,1062.775,1349.205,689.268,1066.045,1324.187,699.593,989.138,1321.961,672.184,980.583,1515.344,502.814,689.8,1577.614,514.773,708.887,1566.764,523.279,618.378,1540.165,515.327,625.368,1445.857,556.792,340.121,1484.865,555.181,334.672,1507.772,574.03,322.297,1432.136,571.482,273.072,1250.201,661.247,110.731,1235.478,661.317,76.7,1251.432,627.205,75.633,1591.068,876.925,716.081,1552.018,880.939,711.861,1585.709,870.622,625.54,1604.532,873.893,648.662,1588.582,835.446,405.311,1572.465,847.704,438.961,1550.113,836.262,459.122,1502.637,828.123,381.98,1291.521,742.578,275.266,1265.756,738.912,259.06,1268.408,773.33,248.126,1519.516,643.52,41.632,1319.29,619.124,113.147,1530.918,568.56,459.253,1469.981,797.088,51.401,1339.07,794.181,239.92,1666.996,832.624,520.688,
1358.55,658.788,1064.175,1349.168,689.2,1067.522,1324.144,699.927,990.681,1321.789,672.515,982.033,1511.989,503.153,690.141,1574.255,514.69,708.783,1562.735,523.951,618.153,1536.06,515.701,625.377,1439.105,557.036,340.732,1477.845,555.329,335.08,1500.884,574.258,322.682,1425.011,571.731,273.847,1242.517,661.412,111.97,1227.317,661.3,78.142,1243.601,627.155,76.894,1592.519,877.012,719.249,1553.524,881.194,714.641,1587.954,870.867,628.628,1606.549,874.058,651.9,1593.424,835.441,406.981,1576.48,847.568,440.222,1553.75,836.133,459.866,1508.094,828.084,381.642,1299.462,742.439,269.731,1274.118,738.76,252.902,1277.217,772.703,242.142,1511.332,643.578,41.581,1311.593,619.137,114.098,1524.876,569.347,459.392,1483.461,797.212,50.496,1348.0,794.156,235.584,1669.804,832.64,524.253,
1358.544,658.749,1065.618,1349.217,689.18,1069.093,1324.095,700.18,992.352,1321.624,672.872,983.586,1508.713,503.503,690.523,1571.112,515.048,708.506,1558.611,524.387,618.036,1531.995,516.088,625.544,1432.423,557.652,341.474,1471.014,555.647,335.732,1494.281,574.782,323.285,1417.92,572.011,274.727,1234.816,661.38,113.309,1219.55,661.226,79.52,1235.816,626.963,78.111,1593.872,876.951,722.374,1554.969,881.461,717.516,1590.084,871.106,631.778,1608.518,874.197,655.184,1598.19,835.464,408.54,1580.355,847.397,441.416,1557.321,836.038,460.483,1513.495,828.068,381.222,1307.551,742.309,264.08,1282.746,738.797,246.78,1286.093,772.305,235.918,1503.181,643.675,41.566,1303.952,619.167,115.181,1518.766,569.752,459.701,1496.958,797.553,49.634,1356.872,794.139,231.181,1672.452,832.617,527.778,
1358.51,658.64,1067.162,1349.265,689.106,1070.737,1324.081,700.451,994.057,1321.532,673.199,985.238,1505.655,503.795,691.093,1568.047,515.363,708.233,1553.996,524.391,617.945,1527.949,516.57,625.732,1425.523,557.64,342.334,1464.256,555.986,336.466,1487.164,574.886,323.839,1411.039,572.362,275.708,1227.196,661.254,114.767,1211.73,661.154,81.054,1228.038,626.828,79.451,1595.152,876.59,725.501,1556.332,881.348,720.313,1592.371,871.82,635.009,1610.402,874.498,658.564,1602.882,835.448,410.032,1584.293,847.311,442.506,1560.491,835.862,461.06,1518.883,828.03,380.695,1315.68,742.089,258.31,1291.482,738.641,240.43,1295.03,772.14,229.637,1495.053,643.708,41.61,1296.364,619.179,116.329,1512.733,569.948,460.336,1510.488,797.886,48.918,1365.729,794.118,226.763,1674.953,832.598,531.272,
1358.582,658.573,1068.721,1349.347,689.034,1072.46,1324.211,700.703,995.824,1321.475,673.555,986.973,1502.342,504.137,691.805,1565.01,515.82,708.066,1549.946,524.879,617.84,1523.911,517.077,626.018,1418.823,558.021,343.387,1457.531,556.361,337.368,1480.378,575.196,324.576,1404.063,572.658,276.773,1219.618,661.063,116.354,1203.997,660.815,82.645,1220.278,626.902,81.083,1596.491,876.661,728.727,1557.734,881.54,723.274,1594.326,872.039,638.225,1612.254,874.49,662.114,1607.469,835.525,411.448,1588.096,847.234,443.496,1563.951,835.788,461.431,1524.183,828.043,379.983,1324.048,742.018,252.59,1300.34,738.49,233.989,1303.989,771.912,223.41,1486.897,643.787,41.544,1288.786,619.135,117.484,1506.63,570.464,460.935,1524.144,798.129,48.213,1374.864,794.071,222.258,1677.282,832.553,534.741,
1358.66,658.495,1070.387,1349.563,688.993,1074.242,1324.353,701.051,997.67,1321.524,673.866,988.684,1499.102,504.606,692.517,1561.98,516.277,707.967,1545.901,525.597,617.894,1519.925,517.594,626.399,1412.145,558.413,344.515,1450.853,556.722,338.344,1473.612,575.504,325.455,1397.134,572.979,278.007,1212.152,660.851,118.043,1196.337,660.672,84.399,1212.634,626.788,82.671,1597.781,876.713,731.993,1559.066,881.774,726.288,1596.23,872.257,641.466,1613.977,874.928,665.443,1611.994,835.488,412.822,1591.788,847.149,444.343,1567.257,835.771,461.68,1529.511,827.999,379.287,1332.623,741.885,246.685,1309.397,738.335,227.476,1313.462,771.655,216.9,1478.771,643.859,41.514,1281.286,619.079,118.759,1500.515,570.887,461.657,1538.089,798.483,47.491,1384.13,794.08,217.722,1679.452,832.511,538.152,
1358.745,658.444,1072.121,1349.711,688.875,1076.131,1324.489,701.294,999.609,1321.548,674.16,990.52,1495.975,505.152,693.209,1558.946,516.806,707.932,1541.689,526.645,617.994,1516.118,517.786,626.87,1405.553,558.783,345.76,1444.216,557.077,339.434,1466.906,575.929,326.412,1390.181,573.176,279.22,1204.701,660.588,119.862,1188.68,660.532,86.339,1204.993,626.679,84.347,1599.019,876.713,735.248,1560.37,882.033,729.303,1598.034,872.426,644.72,1615.717,875.018,668.82,1616.426,835.513,414.076,1595.438,847.153,445.074,1570.495,835.771,461.76,1534.99,827.758,378.36,1341.352,741.751,240.746,1319.07,738.16,220.405,1322.93,771.553,210.456,1470.884,643.7,41.638,1273.878,618.979,120.156,1494.596,571.487,462.434,1551.916,798.351,47.035,1393.55,794.035,213.129,1681.455,832.4,541.501,
