R_ICT X,R_ICT Y,R_ICT Z,L_ICT X,L_ICT Y,L_ICT Z,R_FTC X,R_FTC Y,R_FTC Z,L_FTC X,L_FTC Y,L_FTC Z,PEL_1 X,PEL_1 Y,PEL_1 Z,PEL_2 X,PEL_2 Y,PEL_2 Z,PEL_3 X,PEL_3 Y,PEL_3 Z,PEL_4 X,PEL_4 Y,PEL_4 Z,R_TH1 X,R_TH1 Y,R_TH1 Z,R_TH2 X,R_TH2 Y,R_TH2 Z,R_TH3 X,R_TH3 Y,R_TH3 Z,R_TH4 X,R_TH4 Y,R_TH4 Z,R_FLE X,R_FLE Y,R_FLE Z,R_FME X,R_FME Y,R_FME Z,R_SK1 X,R_SK1 Y,R_SK1 Z,R_SK2 X,R_SK2 Y,R_SK2 Z,R_SK3 X,R_SK3 Y,R_SK3 Z,R_SK4 X,R_SK4 Y,R_SK4 Z,R_FAL X,R_FAL Y,R_FAL Z,R_TAM X,R_TAM Y,R_TAM Z,R_FCC1 X,R_FCC1 Y,R_FCC1 Z,R_FCC2 X,R_FCC2 Y,R_FCC2 Z,R_FCL X,R_FCL Y,R_FCL Z,R_FM1 X,R_FM1 Y,R_FM1 Z,R_FM5 X,R_FM5 Y,R_FM5 Z,L_TH1 X,L_TH1 Y,L_TH1 Z,L_TH2 X,L_TH2 Y,L_TH2 Z,L_TH3 X,L_TH3 Y,L_TH3 Z,L_TH4 X,L_TH4 Y,L_TH4 Z,L_FLE X,L_FLE Y,L_FLE Z,L_FME X,L_FME Y,L_FME Z,L_SK1 X,L_SK1 Y,L_SK1 Z,L_SK2 X,L_SK2 Y,L_SK2 Z,L_SK3 X,L_SK3 Y,L_SK3 Z,L_SK4 X,L_SK4 Y,L_SK4 Z,L_FAL X,L_FAL Y,L_FAL Z,L_TAM X,L_TAM Y,L_TAM Z,L_FCC1 X,L_FCC1 Y,L_FCC1 Z,L_FCC2 X,L_FCC2 Y,L_FCC2 Z,L_FCL X,L_FCL Y,L_FCL Z,L_FM1 X,L_FM1 Y,L_FM1 Z,L_FM5 X,L_FM5 Y,L_FM5 Z,R_BP X,R_BP Y,R_BP Z,L_BP X,L_BP Y,L_BP Z,Unnamed: 132
1234.455,568.635,1124.903,1222.104,870.95,1125.196,1221.691,542.094,976.709,1212.85,891.675,973.389,1131.074,694.422,1152.15,1122.061,725.705,1154.699,1108.356,737.898,1075.604,1104.616,711.092,1066.738,1206.529,512.699,812.077,1271.626,519.783,806.46,1231.273,503.215,726.692,1208.89,500.589,743.374,1204.438,526.894,539.315,1190.308,628.057,517.14,1134.709,491.419,370.656,1170.459,488.19,384.416,1197.76,505.563,384.632,1154.863,498.927,303.831,1146.962,520.473,112.162,1162.968,605.26,131.681,1085.322,565.077,100.745,1078.007,573.948,53.081,1088.209,532.282,60.392,1289.022,597.61,50.981,1260.947,490.304,48.947,1249.948,911.614,738.641,1219.162,921.846,761.934,1186.198,914.768,675.983,1214.929,914.966,679.828,1181.275,895.743,537.819,1183.543,796.518,516.458,1196.22,902.935,392.29,1169.755,928.649,410.274,1137.849,931.961,410.096,1151.241,925.313,319.723,1139.513,910.178,114.245,1159.394,824.922,122.757,1079.049,870.17,99.833,1069.216,873.347,57.603,1088.229,905.777,58.727,1286.843,828.769,56.767,1258.132,936.939,43.954,1382.26,535.923,51.595,1377.823,877.697,53.255,
1234.463,568.621,1124.911,1222.115,870.957,1125.188,1221.696,542.108,976.716,1212.845,891.686,973.388,1131.091,694.403,1152.142,1122.082,725.724,1154.678,1108.376,737.903,1075.623,1104.629,711.091,1066.759,1206.279,512.845,812.322,1271.57,519.964,806.342,1231.399,503.596,726.015,1208.882,500.611,743.375,1204.456,526.919,539.301,1190.312,628.052,517.154,1134.339,491.446,370.334,1170.125,488.213,384.241,1197.759,505.583,384.621,1154.879,498.94,303.844,1146.951,520.477,112.155,1162.963,605.257,131.678,1085.371,565.084,100.715,1077.039,574.322,53.575,1088.225,532.27,60.385,1289.022,597.585,50.976,1260.945,490.294,48.941,1249.952,911.624,738.642,1219.162,921.848,761.931,1186.201,914.778,675.984,1214.932,914.966,679.82,1181.284,895.751,537.845,1183.555,796.49,516.456,1196.215,902.934,392.271,1169.769,928.648,410.274,1137.848,931.96,410.085,1151.234,925.328,319.734,1139.528,910.196,114.243,1159.381,824.921,122.737,1079.04,870.187,99.838,1069.22,873.365,57.618,1087.902,905.722,58.93,1286.829,828.769,56.774,1258.131,936.942,43.955,1382.266,535.932,51.588,1377.822,877.697,53.256,
1234.301,568.694,1125.077,1222.127,870.955,1125.187,1221.702,542.108,976.714,1212.854,891.704,973.39,1131.082,694.431,1152.164,1122.074,725.734,1154.698,1108.357,737.921,1075.631,1104.624,711.121,1066.762,1206.291,512.858,812.368,1271.554,519.963,806.331,1231.264,503.242,726.659,1208.895,500.599,743.376,1204.444,526.922,539.312,1190.368,628.308,517.0,1134.345,491.438,370.321,1170.469,488.183,384.417,1197.773,505.571,384.627,1154.904,498.95,303.833,1146.973,520.487,112.174,1162.979,605.261,131.671,1085.36,565.098,100.701,1076.981,574.328,53.598,1088.211,532.279,60.392,1288.423,597.621,51.408,1260.947,490.3,48.953,1249.954,911.65,738.653,1219.184,921.878,761.921,1186.215,914.778,675.984,1214.934,914.951,679.835,1181.309,895.754,537.815,1183.566,796.499,516.437,1196.216,902.936,392.29,1169.833,928.71,409.442,1137.857,931.973,410.102,1151.244,925.314,319.727,1139.517,910.188,114.243,1159.392,824.913,122.749,1079.037,870.176,99.824,1069.224,873.344,57.597,1088.193,905.788,58.762,1286.555,828.757,56.888,1258.133,936.938,43.957,1382.259,535.918,51.575,1377.827,877.691,53.249,
1234.469,568.644,1124.898,1222.377,871.363,1125.327,1221.705,542.116,976.719,1212.763,891.502,973.003,1130.607,694.484,1152.668,1123.159,725.572,1155.505,1108.438,737.929,1075.765,1103.418,711.434,1067.553,1206.577,512.446,811.929,1271.568,519.963,806.332,1231.541,503.551,725.923,1208.913,500.661,743.42,1204.445,526.919,539.295,1190.023,627.164,517.956,1134.341,491.448,370.33,1170.49,487.884,384.165,1197.601,505.496,384.252,1155.012,498.861,303.787,1147.335,520.023,111.928,1162.332,605.035,131.57,1084.911,564.533,100.966,1076.966,574.32,53.602,1088.562,532.527,60.541,1288.373,597.609,51.413,1260.949,490.302,48.935,1249.969,911.635,738.636,1219.163,921.926,761.934,1186.217,914.796,675.989,1214.942,914.941,679.83,1180.993,895.965,538.121,1183.284,795.651,519.146,1195.829,903.153,392.906,1169.833,928.726,409.388,1137.852,932.047,410.118,1151.226,925.33,319.756,1139.672,910.174,113.997,1159.245,824.909,122.783,1078.992,869.834,99.658,1069.22,873.341,57.6,1087.88,905.705,58.962,1286.211,828.62,56.665,1258.123,936.938,43.954,1382.359,535.892,51.759,1377.795,877.611,53.196,
1234.481,568.66,1124.913,1222.402,871.378,1125.327,1221.692,542.109,976.72,1212.778,891.51,972.988,1130.608,694.482,1152.665,1123.178,725.578,1155.51,1108.441,737.934,1075.774,1103.405,711.454,1067.575,1206.588,512.443,811.929,1271.555,519.981,806.328,1231.541,503.558,725.912,1208.892,500.608,743.38,1204.435,526.943,539.318,1190.03,627.178,517.964,1134.333,491.444,370.341,1170.466,487.919,384.172,1197.608,505.478,384.256,1155.032,498.87,303.791,1147.336,520.026,111.934,1162.326,605.024,131.566,1084.925,564.555,100.96,1076.991,574.353,53.596,1088.559,532.533,60.546,1288.388,597.622,51.422,1260.939,490.3,48.927,1249.967,911.634,738.649,1219.171,921.938,761.936,1186.223,914.798,675.976,1214.947,914.957,679.82,1180.985,895.966,538.133,1183.292,795.663,519.143,1195.81,903.135,392.895,1169.835,928.725,409.386,1137.85,932.042,410.107,1151.247,925.323,319.722,1139.675,910.189,113.995,1159.231,824.906,122.806,1079.003,869.829,99.687,1069.219,873.351,57.624,1087.888,905.707,58.942,1286.231,828.625,56.667,1258.136,936.936,43.952,1382.361,535.891,51.768,1377.794,877.616,53.188,
1234.468,568.667,1124.91,1222.413,871.393,1125.329,1221.705,542.115,976.719,1212.785,891.509,972.999,1130.634,694.49,1152.66,1123.162,725.597,1155.521,1108.453,737.942,1075.766,1103.392,711.464,1067.582,1206.668,512.612,811.394,1271.559,519.978,806.34,1231.534,503.555,725.914,1208.9,500.686,743.435,1204.433,526.948,539.323,1190.02,627.184,517.961,1134.33,491.452,370.338,1170.491,487.908,384.174,1197.62,505.479,384.239,1155.032,498.866,303.789,1147.346,520.043,111.938,1162.322,605.031,131.567,1084.93,564.512,100.998,1076.978,574.342,53.62,1088.567,532.521,60.529,1288.403,597.618,51.413,1260.932,490.313,48.938,1249.97,911.632,738.635,1219.178,921.936,761.939,1186.222,914.809,675.982,1214.965,914.991,679.8,1180.995,895.969,538.142,1183.281,795.667,519.16,1195.815,903.151,392.894,1169.837,928.726,409.394,1137.859,932.058,410.122,1151.245,925.335,319.744,1139.675,910.178,113.995,1159.241,824.908,122.788,1078.999,869.85,99.678,1069.217,873.357,57.626,1087.901,905.721,58.97,1286.223,828.624,56.656,1258.129,936.942,43.959,1382.363,535.898,51.758,1377.783,877.617,53.188,
1234.493,568.685,1124.905,1222.422,871.4,1125.331,1221.709,542.135,976.719,1212.773,891.517,972.994,1130.638,694.514,1152.661,1123.192,725.583,1155.528,1108.453,737.945,1075.775,1103.424,711.476,1067.567,1206.6,512.454,811.955,1271.552,519.976,806.354,1231.534,503.567,725.939,1208.915,500.669,743.426,1204.452,526.934,539.316,1190.047,627.171,517.962,1134.332,491.457,370.339,1170.489,487.878,384.188,1197.623,505.498,384.248,1155.026,498.859,303.787,1147.345,520.034,111.942,1162.319,605.024,131.569,1084.936,564.565,100.974,1076.988,574.333,53.59,1088.581,532.531,60.542,1288.013,597.705,52.337,1260.948,490.3,48.941,1249.984,911.65,738.649,1219.188,921.937,761.937,1186.207,914.797,675.991,1214.956,914.962,679.826,1181.002,895.974,538.136,1183.288,795.658,519.157,1195.836,903.142,392.89,1169.835,928.721,409.377,1137.857,932.043,410.124,1151.252,925.316,319.727,1139.676,910.186,113.998,1159.232,824.902,122.779,1078.998,869.856,99.673,1069.207,873.332,57.604,1087.884,905.703,58.958,1286.221,828.627,56.66,1258.12,936.939,43.954,1382.35,535.88,51.752,1377.805,877.611,53.193,
1234.443,568.744,1124.923,1222.423,871.4,1125.329,1221.719,542.129,976.736,1212.785,891.53,972.989,1130.649,694.506,1152.669,1123.22,725.598,1155.528,1108.45,737.953,1075.767,1103.453,711.466,1067.582,1206.59,512.439,811.949,1271.563,519.978,806.338,1231.538,503.558,725.933,1208.92,500.677,743.44,1204.451,526.951,539.333,1190.034,627.189,517.96,1134.336,491.471,370.342,1170.496,487.888,384.185,1197.612,505.488,384.238,1155.022,498.872,303.805,1147.348,520.032,111.952,1162.324,605.027,131.572,1084.926,564.492,100.994,1076.97,574.337,53.608,1088.576,532.541,60.546,1288.399,597.618,51.413,1260.942,490.308,48.948,1249.976,911.643,738.64,1219.184,921.936,761.934,1186.229,914.797,675.973,1214.961,914.987,679.813,1180.988,895.975,538.159,1183.298,795.664,519.152,1195.824,903.144,392.919,1169.838,928.726,409.385,1137.86,932.063,410.118,1151.245,925.341,319.748,1139.672,910.185,113.999,1159.235,824.911,122.778,1079.009,869.865,99.676,1069.22,873.32,57.592,1087.878,905.7,58.953,1286.208,828.614,56.651,1258.137,936.946,43.951,1382.36,535.909,51.75,1377.797,877.613,53.187,
1234.487,568.684,1124.908,1222.447,871.403,1125.325,1221.732,542.143,976.732,1212.793,891.531,972.983,1130.647,694.53,1152.676,1123.218,725.614,1155.524,1108.464,737.962,1075.769,1103.425,711.477,1067.563,1206.671,512.641,811.375,1271.566,519.984,806.358,1231.539,503.564,725.935,1208.926,500.685,743.44,1204.472,526.94,539.314,1190.039,627.199,517.965,1134.342,491.472,370.354,1170.496,487.887,384.189,1197.624,505.483,384.271,1155.022,498.869,303.787,1147.402,520.092,111.903,1162.315,605.042,131.566,1084.98,564.582,100.856,1076.987,574.343,53.61,1088.562,532.539,60.555,1288.398,597.61,51.407,1260.946,490.303,48.95,1249.969,911.662,738.64,1219.19,921.948,761.938,1186.229,914.805,675.974,1214.945,914.988,679.825,1180.985,895.994,538.144,1183.29,795.669,519.151,1195.833,903.17,392.923,1169.84,928.729,409.389,1137.856,932.057,410.117,1151.241,925.331,319.74,1139.678,910.185,113.997,1159.242,824.911,122.803,1079.001,869.846,99.681,1069.218,873.342,57.621,1087.874,905.703,58.955,1286.203,828.622,56.645,1258.126,936.94,43.952,1382.354,535.892,51.743,1377.796,877.613,53.185,
1234.501,568.692,1124.901,1222.441,871.423,1125.321,1221.728,542.139,976.732,1212.815,891.529,972.992,1130.668,694.527,1152.672,1123.211,725.601,1155.537,1108.473,737.959,1075.762,1103.426,711.497,1067.565,1206.576,512.463,811.954,1271.56,519.978,806.342,1231.527,503.578,725.923,1208.91,500.687,743.432,1204.45,526.954,539.319,1190.046,627.204,517.961,1134.353,491.475,370.337,1170.504,487.898,384.18,1197.614,505.495,384.255,1155.029,498.883,303.799,1147.336,520.042,111.947,1162.335,605.038,131.571,1084.919,564.547,101.008,1076.967,574.346,53.614,1088.565,532.536,60.553,1288.375,597.62,51.407,1260.945,490.308,48.936,1249.991,911.662,738.648,1219.183,921.955,761.934,1186.219,914.807,675.992,1214.945,914.987,679.823,1180.988,895.985,538.141,1183.31,795.67,519.135,1195.835,903.158,392.917,1169.838,928.745,409.383,1137.855,932.061,410.106,1151.246,925.334,319.742,1139.671,910.175,114.005,1159.223,824.904,122.798,1079.007,869.873,99.688,1069.222,873.339,57.611,1087.883,905.699,58.952,1286.219,828.618,56.656,1258.128,936.939,43.953,1382.367,535.889,51.751,1377.794,877.611,53.183,
