cycle,foot,IC_time,TC_time
1,left,0.23666666666666666,0.49
1,right,0.5866666666666667,0.8433333333333334
2,left,0.9466666666666667,1.2
2,right,1.2966666666666666,1.5533333333333332
3,left,1.6566666666666667,1.91
3,right,2.01,2.263333333333333
4,left,2.3733333333333335,2.63
4,right,2.723333333333333,2.9766666666666666
5,left,3.0833333333333335,3.3366666666666664
5,right,3.433333333333333,3.6866666666666665
6,left,3.7933333333333334,4.043333333333333
6,right,4.1466666666666665,4.3966666666666665
7,left,4.506666666666667,4.76
7,right,4.86,5.113333333333333
8,left,5.22,5.473333333333334
8,right,5.573333333333333,5.83
9,left,5.9366666666666665,6.1866666666666665
9,right,6.283333333333333,6.54
10,left,6.653333333333333,6.9
10,right,7.01,7.263333333333334
11,left,7.37,7.626666666666667
11,right,7.73,7.983333333333333
12,left,8.093333333333334,8.346666666666666
12,right,8.45,8.703333333333333
13,left,8.81,9.06
13,right,9.166666666666666,9.416666666666666
14,left,9.523333333333333,9.78
14,right,9.88,10.13
15,left,10.236666666666666,10.49
15,right,10.593333333333334,10.85
16,left,10.956666666666667,11.216666666666667
16,right,11.313333333333333,11.573333333333334
17,left,11.673333333333334,11.933333333333334
17,right,12.023333333333333,12.276666666666667
18,left,12.383333333333333,12.633333333333333
18,right,12.743333333333334,12.996666666666666
19,left,13.103333333333333,13.356666666666667
19,right,13.46,13.713333333333333
20,left,13.823333333333334,14.076666666666666
20,right,14.173333333333334,14.43
